,Event,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2000-2019
0,Magic Kingdom,USA,15400000,14700000,14000000,14040000,15100000,16100000,16640000,17060000,17060000,17200000,16970000,17140000,17540000,18580000,19330000,20490000,20390000,20450000,20860000.0,21277200.0,15400000
1,Disneyland,USA,13900000,12300000,12700000,12720000,13400000,14500000,14730000,14870000,14720000,15900000,15980000,16140000,15960000,16200000,16770000,18270000,17940000,18300000,18660000.0,19033200.0,13900000
2,Epcot,USA,10600000,9000000,8300000,8620000,9400000,9900000,10460000,10900000,10930000,10990000,10820000,10830000,11060000,11230000,11450000,11790000,11710000,12200000,12400000.0,12648000.0,10600000
3,Disney-MGM Studios,USA,8900000,8300000,8000000,7870000,8200000,8600000,9100000,9510000,9610000,9700000,9600000,9690000,9910000,10110000,10310000,10830000,10780000,10720000,11250000.0,11475000.0,8900000
4,Disney's Animal Kingdom,USA,8300000,7700000,7300000,7300000,7800000,8200000,8900000,9490000,9540000,9590000,9680000,9780000,9990000,10190000,10400000,10920000,10840000,12500000,13750000.0,14025000.0,8300000
5,Disneyland,Japan,5000000,5200000,6880000,7400000,8000000,9500000,11800000,13910000,14290000,13650000,14450000,13990000,14840000,17210000,17300000,16600000,16540000,16600000,17900000.0,18258000.0,5000000
6,Disneysea,Japan,0,5000000,5700000,6000000,7000000,8500000,10000000,12410000,12490000,12000000,12660000,11930000,12660000,14080000,14100000,13600000,13460000,13500000,14650000.0,14943000.0,0
7,Disneyland,France,4100000,4800000,5200000,6500000,6900000,9000000,10600000,12000000,12680000,12740000,10500000,10900000,11200000,10430000,9940000,10360000,0,0,,,4100000
8,Universal Studios,Japan,0,5000000,5500000,6200000,6800000,7400000,8500000,8710000,8300000,8000000,8160000,8500000,9700000,10100000,11800000,16600000,14500000,14940000,14300000.0,14586000.0,0
9,Everland,South Korea,4100000,4500000,6200000,6000000,6000000,6800000,7500000,7200000,6600000,6000000,6880000,0,0,0,0,0,0,0,,,4100000
10,Universal Studios,USA,8100000,7200000,6900000,6850000,6700000,6100000,0,0,0,0,0,0,0,0,0,9590000,9990000,10190000,,,8100000
11,Islands of Adventure,USA,6000000,5500000,6100000,6070000,6300000,5760000,0,0,0,0,0,7670000,7980000,0,0,0,9360000,0,,,6000000
12,Universal Studios Hollywood,USA,5200000,4700000,5200000,4580000,5000000,4700000,0,0,0,0,0,0,0,0,0,0,0,0,,,5200000
13,Disney's California Adventure,USA,0,5000000,4700000,5310000,5600000,5800000,0,0,0,6050000,0,0,0,8510000,8770000,0,0,0,,,0
14,Busch Gardens Tampa,USA,5000000,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5000000
15,Shanghai Disneyland,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000000,11800000.0,12036000.0,0
16,Chimelong Ocean Kingdom,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10830000.0,11046600.0,0
